Player  ,TM  ,V  ,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,9  ,10  ,11  ,12  ,13  ,14  ,15  ,16  ,17  ,18  ,19  ,20  ,21  ,22  ,23  ,GM  ,3  ,2  ,1  ,GP  
"Mitchell, Tom",HW,28,3,3,3,-,-,2,-,-,-,-,3,,2,1,2,-,-,3,3,2,1,-,-,22,6,4,2,12
"Sidebottom, Steele",CW,24,-,-,3,3,3,-,1,-,3,-,3,1,,-,-,3,-,-,-,-,-,1,3,22,7,,3,10
"Brayshaw, Angus",ME,21,,,,-,-,-,2,-,-,2,2,-,,-,2,3,2,-,-,2,-,3,3,19,3,6,,9
"Gawn, Max",ME,20,-,-,3,-,-,3,-,-,-,-,1,-,,-,-,2,3,2,2,-,-,2,2,22,3,5,1,9
"Cripps, Patrick",CA,20,2,-,-,-,2,1,-,3,-,-,-,,1,2,2,-,1,-,3,-,1,-,2,22,2,5,4,11
"Laird, Rory",AD,19,-,3,-,-,3,3,1,-,2,-,-,,,,2,-,1,1,-,-,-,3,-,20,4,2,3,9
"Martin, Dustin",RI,19,-,1,-,3,2,2,-,-,-,-,2,,-,,-,2,-,2,-,-,-,3,2,21,2,6,1,9
"Steven, Jack",SK,18,3,-,-,-,2,-,-,-,-,1,-,-,1,,3,-,3,-,2,-,-,-,3,22,4,2,2,8
"Beams, Dayne",BL,18,-,-,,-,-,1,-,-,2,3,-,-,,-,3,2,2,-,1,-,-,3,1,21,3,3,3,9
"Dangerfield, Patrick",GE,17,,-,2,-,1,-,-,-,-,2,-,-,-,,2,-,2,-,-,2,3,-,3,21,2,5,1,8
"Grundy, Brodie",CW,17,-,-,2,1,1,-,-,-,-,2,1,-,,-,3,-,-,1,1,2,-,3,-,22,2,3,5,10
"Fyfe, Nat",FR,16,-,3,3,-,3,-,3,2,-,-,-,,2,,-,,,,,,,-,-,15,4,2,,6
"Gaff, Andrew",WC,16,-,-,-,-,3,-,-,-,1,3,-,,-,-,1,3,2,3,-,-,,,,19,4,1,2,7
"Franklin, Lance",SY,16,3,-,1,2,-,,,,1,-,-,3,-,,-,-,-,-,-,3,-,3,,18,4,1,2,7
"Whitfield, Lachie",GW,16,-,-,-,-,-,2,-,-,-,-,-,1,,2,-,-,2,3,3,-,3,-,-,22,3,3,1,7
"Yeo, Elliot",WC,15,-,-,-,3,1,-,-,-,3,-,-,,2,-,-,-,-,1,-,3,2,-,-,22,3,2,2,7
"Pendlebury, Scott",CW,15,-,2,-,-,-,-,-,,1,1,-,-,,3,-,-,-,3,3,-,-,-,2,21,3,2,2,7
"Higgins, Shaun",NM,15,-,-,-,2,-,,3,-,-,-,2,2,,3,-,2,1,-,-,,-,-,-,20,2,4,1,7
"Selwood, Joel",GE,14,2,-,-,-,3,-,-,-,-,-,2,-,3,,1,3,-,-,-,-,-,-,-,22,3,2,1,6
"Ablett, Gary",GE,14,3,1,-,,,,,-,-,-,3,3,-,,-,-,-,-,2,-,2,-,-,18,3,2,1,6
"Wines, Ollie",PA,14,-,3,-,-,2,-,-,-,-,,-,3,3,1,-,-,1,1,-,-,-,-,-,22,3,1,3,7
"Macrae, Jack",WB,14,-,1,-,1,-,2,3,3,-,-,-,,-,,,,-,-,1,-,-,-,3,19,3,1,3,7
"Kelly, Tim",GE,13,-,-,-,-,-,2,3,-,-,-,-,-,-,,-,-,-,-,-,3,-,3,2,22,3,2,,5
"Oliver, Clayton",ME,13,-,-,-,-,-,-,3,-,-,-,-,-,,-,-,1,1,-,3,3,2,-,-,22,3,1,2,6
"Ward, Callan",GW,13,-,-,-,3,-,-,-,1,-,-,-,-,,-,3,-,3,-,-,1,2,-,-,22,3,1,2,6
"Heppell, Dyson",ES,13,3,-,-,2,-,-,-,-,2,-,-,-,,-,3,-,2,-,1,-,-,-,-,22,2,3,1,6
"OMeara, Jaeger",HW,13,2,-,-,2,-,-,-,-,,2,-,,1,2,-,1,1,,2,-,-,-,-,20,,5,3,8
"Lambert, Kane",RI,12,-,-,-,-,3,-,2,-,-,-,-,-,1,,2,3,-,-,-,1,-,,,20,2,2,2,6
"de Goey, Jordan",CW,12,,,,-,-,-,3,-,2,-,-,2,,-,-,2,-,2,,,1,-,-,17,1,4,1,6
"Cunnington, Ben",NM,11,-,-,-,1,3,-,-,1,-,-,3,-,,-,-,-,-,-,3,-,-,-,-,22,3,,2,5
"Neale, Lachie",FR,11,-,-,-,-,-,3,-,1,-,-,-,-,3,,-,-,2,-,-,-,2,-,-,22,2,2,1,5
"Darling, Jack",WC,11,-,2,-,-,-,-,-,3,2,-,-,,,,,,-,2,-,-,-,-,2,18,1,4,,5
"Smith, Devon",ES,11,-,-,-,-,-,-,-,-,-,1,-,-,,2,-,1,-,2,-,-,-,2,3,22,1,3,2,6
"Coniglio, Stephen",GW,11,2,3,-,-,-,-,-,-,-,2,-,,,-,-,-,1,-,-,2,-,-,1,21,1,3,2,6
"Shiel, Dylan",GW,10,-,-,-,-,1,3,-,-,-,-,3,-,,3,-,-,-,-,-,,-,-,-,21,3,,1,4
"Gunston, Jack",HW,10,-,-,-,-,-,-,-,2,-,-,-,,-,-,,2,-,-,-,3,-,3,-,21,2,2,,4
"Cotchin, Trent",RI,10,-,-,1,2,-,-,,3,-,3,-,1,-,,-,-,-,-,-,-,-,,-,20,2,1,2,5
"Riewoldt, Jack",RI,10,1,-,2,-,-,-,-,-,-,-,-,-,-,,3,-,-,-,-,-,3,-,1,22,2,1,2,5
"Merrett, Zach",ES,10,-,-,-,-,-,-,-,-,-,-,-,3,,1,1,-,3,1,-,1,-,-,-,22,2,,4,6
"Redden, Jack",WC,10,-,-,-,-,-,-,3,2,-,-,-,,-,-,-,2,1,-,-,2,-,-,-,22,1,3,1,5
"Kelly, Josh",GW,10,-,1,-,,,,,,,-,-,2,,1,-,-,-,2,1,3,-,,-,15,1,2,3,6
"Parker, Luke",SY,10,2,1,-,3,-,-,-,-,-,-,1,-,-,,-,1,-,-,-,-,-,2,,21,1,2,3,6
"Hawkins, Tom",GE,9,-,-,-,-,,-,-,,-,-,-,1,-,,-,-,-,3,3,-,-,2,-,20,2,1,1,4
"Hunter, Lachie",WB,9,-,-,3,-,,-,2,1,-,-,-,,-,-,-,-,-,-,-,-,3,-,-,21,2,1,1,4
"Bontempelli, Marcus",WB,9,-,-,-,-,-,3,,-,-,-,-,,-,-,-,-,,,-,2,2,2,-,19,1,3,,4
"Gibbs, Bryce",AD,9,2,-,2,-,-,-,-,-,3,-,2,-,-,,-,-,-,-,-,-,-,-,-,22,1,3,,4
"Crouch, Matt",AD,8,-,-,,,,-,-,-,,-,-,-,-,,-,-,-,3,-,3,-,2,-,18,2,1,,3
"Shiels, Liam",HW,8,-,-,-,3,-,,-,-,-,-,2,,-,3,-,-,-,-,-,-,-,-,-,21,2,1,,3
"Mundy, David",FR,8,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,3,-,-,1,3,-,-,22,2,,2,4
"Sicily, James",HW,8,1,-,,-,-,,3,-,-,-,1,,3,-,-,-,-,,,,,,,14,2,,2,4
"Gray, Robbie",PA,8,,-,-,1,-,-,-,3,-,,-,-,2,-,-,-,-,-,-,2,-,-,-,21,1,2,1,4
"Treloar, Adam",CW,8,-,-,-,2,2,1,-,-,-,3,-,-,,-,,,,,,,,,,13,1,2,1,4
"McEvoy, Ben",HW,8,-,2,-,-,-,1,-,-,-,-,-,,-,-,-,-,,,,,,2,3,17,1,2,1,4
"Walters, Michael",FR,8,-,2,2,-,2,-,,,-,2,-,-,,,-,-,-,-,-,-,-,-,,18,,4,,4
"Menegola, Sam",GE,7,-,-,-,-,-,-,-,3,-,3,1,-,-,,-,-,-,-,-,-,-,-,-,22,2,,1,3
"Hurley, Michael",ES,7,1,-,-,3,-,-,-,-,,,-,-,,-,-,-,-,-,3,-,-,-,-,20,2,,1,3
"Polec, Jared",PA,7,-,-,-,-,-,3,-,-,-,,-,-,-,-,-,-,-,-,2,-,-,-,2,22,1,2,,3
"Heeney, Isaac",SY,7,-,-,-,-,-,-,-,-,-,-,2,1,-,,-,,-,-,-,-,3,-,1,21,1,1,2,4
"Edwards, Shane",RI,7,-,-,-,-,1,-,-,-,-,-,3,-,-,,-,1,-,-,2,-,-,-,-,22,1,1,2,4
"Breust, Luke",HW,7,-,-,-,1,-,-,-,-,-,-,-,,-,-,-,3,-,2,1,-,-,-,-,22,1,1,2,4
"Waite, Jarrad",NM,7,-,2,-,-,1,-,,-,3,1,,,,,,,,,,-,-,-,-,13,1,1,2,4
"Ziebell, Jack",NM,7,1,-,-,-,-,-,-,-,-,-,1,-,,-,-,-,3,-,-,2,-,-,-,22,1,1,2,4
