Player  ,TM  ,V  ,1  ,2  ,3  ,4  ,5  ,6  ,7  ,8  ,9  ,10  ,11  ,12  ,13  ,14  ,15  ,16  ,17  ,18  ,19  ,20  ,21  ,22  ,23  ,GM  ,3  ,2  ,1  ,GP  
"Fyfe, Nat",FR,33,3,2,-,,-,3,3,3,-,3,3,,2,1,1,-,3,,-,3,3,-,-,20,9,2,2,13
"Dangerfield, Patrick",GE,27,2,3,3,-,-,2,-,-,-,,2,3,,1,-,-,3,-,-,-,3,2,3,21,6,4,1,11
"Cripps, Patrick",CA,26,2,3,2,3,3,1,-,2,-,2,-,3,-,,,,-,-,3,-,2,-,-,20,5,5,1,11
"Neale, Lachie",BL,26,1,3,2,2,-,2,1,1,3,-,1,-,,-,1,3,-,-,3,-,-,-,3,22,5,3,5,13
"Kelly, Tim",GE,24,3,2,-,-,3,-,1,3,-,3,3,-,,-,3,-,-,-,3,-,-,-,-,22,7,1,1,9
"Martin, Dustin",RI,23,-,-,-,,3,-,-,-,3,1,-,-,1,,3,-,-,3,3,3,,3,-,20,7,,2,9
"Grundy, Brodie",CW,23,-,-,-,3,-,1,-,3,3,3,-,-,,3,-,-,-,3,-,1,-,-,3,22,7,,2,9
"Bontempelli, Marcus",WB,22,3,-,3,2,-,-,2,-,-,-,-,,-,-,3,1,-,-,3,3,-,-,2,22,5,3,1,9
"Macrae, Jack",WB,22,-,3,1,-,-,-,1,-,-,-,-,,1,2,1,2,-,-,2,1,2,3,3,22,3,4,5,12
"Zorko, Dayne",BL,19,3,-,-,-,-,-,3,2,-,-,-,-,,2,2,-,2,1,2,-,1,-,1,22,2,5,3,10
"Higgins, Shaun",NM,18,-,-,3,3,-,,1,1,-,2,-,-,,,,,,2,-,3,-,1,2,17,3,3,3,9
"Treloar, Adam",CW,18,1,1,-,-,3,-,2,-,-,-,-,2,,-,-,2,1,-,-,3,3,-,-,22,3,3,3,9
"Yeo, Elliot",WC,17,-,-,-,-,-,-,3,3,3,3,-,,,2,-,-,-,-,-,1,2,-,-,21,4,2,1,7
"Coniglio, Stephen",GW,17,2,-,-,3,1,2,-,-,,-,3,-,2,,3,1,-,,,,,,,15,3,3,2,8
"Gawn, Max",ME,17,-,-,-,2,-,-,1,-,2,2,2,3,,-,-,,-,-,-,2,-,-,3,21,2,5,1,8
"Merrett, Zach",ES,16,-,-,-,-,2,-,-,2,3,-,-,,3,-,2,-,-,3,-,1,-,-,-,22,3,3,1,7
"Boak, Travis",PA,16,2,2,-,-,-,3,-,-,3,-,3,,1,-,-,,-,-,2,-,-,-,-,21,3,3,1,7
"Parker, Luke",SY,16,-,-,-,-,1,-,-,3,2,-,-,1,,3,3,-,-,1,-,-,-,-,2,22,3,2,3,8
"Shuey, Luke",WC,15,-,3,-,-,-,-,1,1,-,1,-,-,,-,3,3,-,-,-,3,-,-,-,22,4,,3,7
"Dunkley, Josh",WB,15,-,-,-,-,-,-,-,3,-,-,-,,2,-,2,-,3,-,-,-,3,2,-,22,3,3,,6
"Shiel, Dylan",ES,14,-,-,3,-,3,2,-,-,1,-,,,-,-,-,3,-,-,-,-,-,2,-,21,3,2,1,6
"Pendlebury, Scott",CW,14,-,-,-,-,-,3,3,1,-,1,2,-,,-,-,-,2,-,-,-,-,2,-,22,2,3,2,7
"Crouch, Brad",AD,14,-,1,2,-,-,-,-,-,2,-,3,1,3,,-,-,-,2,-,-,-,-,-,22,2,3,2,7
"Cameron, Jeremy",GW,13,-,-,3,-,-,-,3,-,-,-,2,-,-,,-,-,-,2,-,,-,,3,20,3,2,,5
"Lyons, Jarryd",BL,13,-,-,-,-,-,1,-,-,-,-,3,-,,-,-,-,3,3,-,-,2,1,-,22,3,1,2,6
"Ablett, Gary",GE,13,-,-,-,-,-,3,3,2,-,-,,2,,-,-,-,-,-,-,-,1,-,2,21,2,3,1,6
"Gaff, Andrew",WC,13,,,3,-,-,-,2,-,-,-,3,-,,1,-,2,-,-,-,-,-,1,1,20,2,2,3,7
"Sheed, Dom",WC,12,-,1,2,-,-,-,-,-,1,-,-,-,,3,-,-,-,3,2,-,-,-,-,22,2,2,2,6
"Whitfield, Lachie",GW,12,3,2,2,1,-,-,,,3,-,-,,,,,,-,-,-,-,-,-,1,16,2,2,2,6
"Ross, Sebastian",SK,12,2,-,-,3,-,-,-,-,-,-,-,,1,-,-,-,-,-,3,-,1,2,-,22,2,2,2,6
"Oliver, Clayton",ME,12,-,-,-,3,-,-,-,3,-,-,1,-,,-,-,1,-,1,-,-,2,1,-,22,2,1,4,7
"Walters, Michael",FR,11,-,-,-,-,3,-,-,-,-,-,-,,3,-,-,-,-,-,-,2,-,3,-,22,3,1,,4
"Billings, Jack",SK,11,-,3,2,-,3,-,-,-,-,-,-,,3,-,-,-,-,-,-,-,-,-,-,22,3,1,,4
"Cameron, Charlie",BL,11,-,-,-,-,-,-,-,-,1,-,-,-,,3,-,-,1,-,-,-,3,3,-,22,3,,2,5
"Kelly, Josh",GW,11,,,-,-,-,-,,-,2,3,1,2,-,,1,-,,,,,,-,2,14,1,3,2,6
"Houli, Bachar",RI,11,-,,,,-,1,-,1,2,3,-,-,-,,-,-,-,-,-,-,-,2,2,19,1,3,2,6
"Duncan, Mitch",GE,11,-,-,-,-,-,-,2,-,3,1,-,1,,-,-,-,1,2,1,-,-,-,-,22,1,2,4,7
"OMeara, Jaeger",HW,11,-,2,1,,-,3,-,-,1,-,-,,-,2,1,-,-,-,1,-,-,-,-,21,1,2,4,7
"Gray, Robbie",PA,10,-,-,-,-,-,-,,,,-,2,,-,3,-,3,-,-,-,2,-,-,-,19,2,2,,4
"Ziebell, Jack",NM,10,-,-,-,-,-,-,-,-,3,-,-,3,-,,2,-,-,-,-,2,-,-,-,22,2,2,,4
"Cunnington, Ben",NM,10,-,2,-,-,-,1,-,-,-,-,3,1,-,,3,-,-,-,-,-,-,-,-,22,2,1,2,5
"Worpel, James",HW,10,2,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,1,-,-,1,3,3,-,22,2,1,2,5
"Henderson, Ricky",HW,10,-,-,-,-,2,-,-,3,-,2,-,,1,-,-,-,2,-,-,-,-,-,-,22,1,3,1,5
"Taranto, Tim",GW,9,-,-,-,-,-,1,-,-,1,-,-,3,3,,-,-,-,1,-,-,-,-,-,22,2,,3,5
"Kennedy, Josh",SY,9,-,2,1,-,-,-,-,1,,-,,,,-,-,2,-,-,-,-,-,-,3,19,1,2,2,5
"McDonald-Tipungwuti, Anthony",ES,8,-,-,1,3,-,-,-,-,-,-,-,,-,-,-,-,3,-,-,-,-,-,1,22,2,,2,4
"Darling, Jack",WC,8,-,-,-,-,-,-,-,-,-,-,2,-,,-,2,-,-,-,1,-,3,-,-,22,1,2,1,4
"Crouch, Matt",AD,8,-,-,-,-,-,1,2,-,,,,-,-,,-,-,2,-,-,3,-,-,-,19,1,2,1,4
"Prestia, Dion",RI,8,-,-,-,-,2,-,-,-,-,-,-,-,-,,-,-,-,2,1,-,3,-,-,22,1,2,1,4
"Brown, Ben",NM,8,-,-,-,1,-,-,-,-,-,-,2,-,-,,-,-,2,-,-,-,-,3,-,22,1,2,1,4
"Sicily, James",HW,8,1,-,-,-,-,-,-,2,-,-,-,,-,-,-,3,-,-,-,-,2,-,-,22,1,2,1,4
"Mundy, David",FR,8,-,-,1,2,-,2,1,-,2,-,-,,-,-,-,-,-,-,-,-,-,-,-,22,,3,2,5
"Sloane, Rory",AD,7,-,3,-,-,3,-,-,1,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,22,2,,1,3
"Naughton, Aaron",WB,7,1,-,-,-,-,-,3,-,-,-,-,,-,-,-,3,-,-,-,-,-,-,-,22,2,,1,3
"Sidebottom, Steele",CW,7,-,-,-,-,-,-,-,-,2,-,-,-,,-,-,-,3,-,-,2,-,-,,21,1,2,,3
"Marshall, Rowan",SK,7,,-,-,1,-,,-,-,-,-,-,,-,-,2,-,2,2,-,-,-,-,-,20,,3,1,4
"Swallow, David",GC,7,-,1,-,-,-,-,-,2,-,2,-,-,2,,-,-,-,-,-,-,-,-,-,22,,3,1,4
