"Ryan, Luke",FR,6,-,-,-,-,-,-,-,-,3,,-,-,3,-,-,-,-,-,,,,,,17,2,,,2
"Kennedy, Josh",WC,6,-,-,-,-,-,-,3,3,-,,-,-,-,-,,-,-,-,,,,,,16,2,,,2
"Lambert, Kane",RI,6,-,-,-,-,3,3,-,-,-,-,-,-,-,-,,,-,-,,,,,,16,2,,,2
"Wingard, Chad",HW,6,3,-,-,3,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,,,,17,2,,,2
"Shiel, Dylan",ES,6,3,-,,-,3,-,,,-,-,-,-,-,-,-,-,-,-,,,,,,15,2,,,2
"Hunter, Lachie",WB,6,-,,,,,-,1,,,,,-,-,2,,-,-,3,,,,,,9,1,1,1,3
"Moore, Darcy",CW,6,-,-,-,-,-,1,-,-,-,-,,-,3,2,-,,-,-,,,,,,16,1,1,1,3
"Papley, Tom",SY,6,-,1,-,2,-,-,-,3,-,-,,-,-,-,-,-,-,-,,,,,,17,1,1,1,3
"Shuey, Luke",WC,6,-,1,-,-,-,,,-,-,,-,3,-,2,-,,,,,,,,,12,1,1,1,3
"Grundy, Brodie",CW,6,3,-,1,-,-,-,2,-,-,-,-,-,-,-,-,,-,-,,,,,,17,1,1,1,3
"Sidebottom, Steele",CW,6,1,1,3,-,,,,,-,-,1,-,-,,,,,,,,,,,9,1,,3,4
"Viney, Jack",ME,6,1,-,,-,-,-,-,-,-,2,,-,-,-,-,2,1,-,,,,,,16,,2,2,4
"Cotchin, Trent",RI,5,-,-,-,-,-,,,,-,-,,2,-,3,-,,-,-,,,,,,13,1,1,,2
"Gunston, Jack",HW,5,-,-,-,-,-,-,-,-,3,,-,-,,-,-,-,-,2,,,,,,16,1,1,,2
"de Goey, Jordan",CW,5,-,-,-,-,-,,3,,,,,,,,,,2,-,,,,,,8,1,1,,2
"Curnow, Ed",CA,5,-,-,-,-,-,3,-,2,-,,-,-,-,-,-,-,-,-,,,,,,17,1,1,,2
"Heeney, Isaac",SY,5,3,-,2,-,-,-,,,,,,,,,,,,,,,,,,6,1,1,,2
"Mihocek, Brody",CW,5,2,-,-,-,-,3,-,-,-,-,-,-,,-,-,,-,-,,,,,,16,1,1,,2
"Gresham, Jade",SK,5,-,-,-,-,-,1,1,-,3,-,-,,,,,,,,,,,,,11,1,,2,3
"Menegola, Sam",GE,5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,3,-,1,,,,,,17,1,,2,3
"Goldstein, Todd",NM,5,-,3,-,1,-,1,-,-,-,-,-,-,-,-,,-,-,-,,,,,,17,1,,2,3
"Gray, Robbie",PA,5,-,-,-,-,-,-,-,-,-,-,1,-,-,2,,-,-,2,,,,,,17,,2,1,3
"Crisp, Jack",CW,5,-,-,-,-,-,-,-,-,-,1,2,-,-,-,2,,-,-,,,,,,17,,2,1,3
"Naitanui, Nic",WC,5,-,-,-,-,1,-,-,-,2,,-,-,-,-,-,,2,-,,,,,,16,,2,1,3
"Allen, Oscar",WC,5,,-,-,,2,-,-,1,-,,-,-,-,,-,-,-,2,,,,,,14,,2,1,3
"Duncan, Mitch",GE,5,-,-,2,-,-,-,,1,-,-,-,-,2,-,,-,-,-,,,,,,16,,2,1,3
"Laird, Rory",AD,4,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,3,1,-,,,,,,17,1,,1,2
"Hopper, Jacob",GW,4,-,-,-,-,-,-,-,-,3,-,,-,-,1,-,-,-,-,,,,,,17,1,,1,2
"Andrews, Harris",BL,4,-,-,-,-,1,-,3,-,-,-,-,-,-,,-,,,,,,,,,14,1,,1,2
"Gibbons, Michael",CA,4,-,-,-,1,-,-,-,-,-,,-,-,3,-,,,-,-,,,,,,15,1,,1,2
"Haynes, Nick",GW,4,-,-,-,1,3,-,-,-,-,-,,-,-,-,-,-,-,-,,,,,,17,1,,1,2
"English, Tim",WB,4,-,-,-,1,-,-,3,-,-,-,-,-,-,-,,-,-,-,,,,,,17,1,,1,2
"Dunkley, Josh",WB,4,-,1,-,,,,,,,-,-,-,-,-,,3,-,-,,,,,,11,1,,1,2
"Martin, Jack",CA,4,1,-,-,-,-,-,-,3,-,,-,,-,-,-,-,,-,,,,,,15,1,,1,2
"OBrien, Reilly",AD,4,-,-,-,-,-,-,-,-,-,-,-,-,-,,2,-,-,2,,,,,,17,,2,,2
