"MATCH_ID","SEASON_ID","GROUP_ROUND_NO","MATCH_DATE","MATCH_TIME","MATCH_TIME_MELB","MATCH_TYPE","FINALS_DESC","HOME_SQUAD_ID","HOME_SQUAD","HOME_SCORE","HOME_SQUAD_TRAVEL","AWAY_SQUAD_ID","AWAY_SQUAD","AWAY_SCORE","AWAY_SQUAD_TRAVEL","VENUE_NAME","VENUE_STATE","VENUE_LOCATION","ATTENDANCE"
182936306,2018,17,"2018-07-14","19:25","19:25","Regular Season","",1010,"GWS Giants",79,"L",120,"Richmond",77,"I","Spotless Stadium","NSW","Sydney",14456
182937826,2018,17,"2018-07-14","19:25","19:25","Regular Season","",1000,"Gold Coast Suns",51,"L",50,"Essendon",95,"I","Metricon Stadium","QLD","Gold Coast",13061
182937635,2018,17,"2018-07-15","13:10","13:10","Regular Season","",40,"Collingwood",67,"L",150,"West Coast Eagles",102,"I","MCG","VIC","Melbourne",53439
182938675,2018,17,"2018-07-15","14:40","16:40","Regular Season","",60,"Fremantle",59,"L",110,"Port Adelaide",50,"I","Optus Stadium","WA","Perth",33190
182936675,2018,17,"2018-07-15","15:20","15:20","Regular Season","",100,"North Melbourne",98,"L",160,"Sydney Swans",104,"I","Etihad Stadium","VIC","Melbourne",25633
182952576,2018,18,"2018-07-20","19:50","19:50","Regular Season","",130,"St Kilda",57,"L",120,"Richmond",111,"L","Etihad Stadium","VIC","Melbourne",36269
182954017,2018,18,"2018-07-21","13:45","13:45","Regular Season","",40,"Collingwood",130,"L",100,"North Melbourne",64,"L","MCG","VIC","Melbourne",50393
182952097,2018,18,"2018-07-21","14:10","14:10","Regular Season","",160,"Sydney Swans",64,"L",1000,"Gold Coast Suns",88,"I","SCG","NSW","Sydney",32565
182952497,2018,18,"2018-07-21","16:35","16:35","Regular Season","",50,"Essendon",99,"L",60,"Fremantle",70,"I","Etihad Stadium","VIC","Melbourne",31564
182953537,2018,18,"2018-07-21","19:25","19:25","Regular Season","",70,"Geelong Cats",100,"L",90,"Melbourne",98,"L","GMHBA Stadium","VIC","Geelong",30125
182952977,2018,18,"2018-07-21","19:25","19:25","Regular Season","",20,"Brisbane Lions",88,"L",10,"Adelaide Crows",93,"I","Gabba","QLD","Brisbane",20475
182955538,2018,18,"2018-07-22","13:10","13:10","Regular Season","",30,"Carlton",52,"L",80,"Hawthorn",124,"L","Etihad Stadium","VIC","Melbourne",30405
182953618,2018,18,"2018-07-22","13:20","15:20","Regular Season","",150,"West Coast Eagles",100,"L",140,"Western Bulldogs",46,"I","Optus Stadium","WA","Perth",46854
182955618,2018,18,"2018-07-22","16:10","16:40","Regular Season","",110,"Port Adelaide",58,"L",1010,"GWS Giants",80,"I","Adelaide Oval","SA","Adelaide",34693
182960691,2018,19,"2018-07-27","19:50","19:50","Regular Season","",50,"Essendon",109,"L",160,"Sydney Swans",66,"I","Etihad Stadium","VIC","Melbourne",42251
182970480,2018,19,"2018-07-28","13:45","13:45","Regular Season","",120,"Richmond",105,"L",40,"Collingwood",77,"L","MCG","VIC","Melbourne",88180
182969920,2018,19,"2018-07-28","14:10","14:10","Regular Season","",70,"Geelong Cats",120,"L",20,"Brisbane Lions",78,"I","GMHBA Stadium","VIC","Geelong",28226
182969072,2018,19,"2018-07-28","16:35","16:35","Regular Season","",1010,"GWS Giants",86,"L",130,"St Kilda",61,"I","Spotless Stadium","NSW","Sydney",12014
182970880,2018,19,"2018-07-28","19:10","19:40","Regular Season","",10,"Adelaide Crows",77,"L",90,"Melbourne",90,"I","Adelaide Oval","SA","Adelaide",45880
182970592,2018,19,"2018-07-28","19:25","19:25","Regular Season","",1000,"Gold Coast Suns",44,"L",30,"Carlton",79,"I","Metricon Stadium","QLD","Gold Coast",10776
182969441,2018,19,"2018-07-29","13:10","13:10","Regular Season","",100,"North Melbourne",81,"I",150,"West Coast Eagles",41,"I","Blundstone Arena","TAS","Hobart",11176
182971441,2018,19,"2018-07-29","14:40","16:40","Regular Season","",60,"Fremantle",53,"L",80,"Hawthorn",112,"I","Optus Stadium","WA","Perth",41845
182971521,2018,19,"2018-07-29","15:20","15:20","Regular Season","",140,"Western Bulldogs",34,"L",110,"Port Adelaide",78,"I","Mars Stadium","VIC","Ballarat",6450
182458483,2018,20,"2018-08-03","19:50","19:50","Regular Season","",120,"Richmond",85,"L",70,"Geelong Cats",82,"L","MCG","VIC","Melbourne",67054
182464592,2018,20,"2018-08-04","13:45","13:45","Regular Season","",80,"Hawthorn",107,"L",50,"Essendon",103,"L","MCG","VIC","Melbourne",68857
182465552,2018,20,"2018-08-04","14:10","14:10","Regular Season","",20,"Brisbane Lions",104,"L",100,"North Melbourne",107,"I","Gabba","QLD","Brisbane",18395
182467072,2018,20,"2018-08-04","16:05","16:35","Regular Season","",10,"Adelaide Crows",96,"L",110,"Port Adelaide",93,"L","Adelaide Oval","SA","Adelaide",50377
182465152,2018,20,"2018-08-04","19:25","19:25","Regular Season","",130,"St Kilda",68,"L",140,"Western Bulldogs",103,"L","Etihad Stadium","VIC","Melbourne",20748
182464672,2018,20,"2018-08-04","19:25","19:25","Regular Season","",160,"Sydney Swans",73,"L",40,"Collingwood",71,"I","SCG","NSW","Sydney",39238
182468113,2018,20,"2018-08-05","13:10","13:10","Regular Season","",30,"Carlton",46,"L",1010,"GWS Giants",151,"I","Etihad Stadium","VIC","Melbourne",16697
182466193,2018,20,"2018-08-05","14:40","16:40","Regular Season","",150,"West Coast Eagles",142,"L",60,"Fremantle",84,"L","Optus Stadium","WA","Perth",57375
182467153,2018,20,"2018-08-05","15:20","15:20","Regular Season","",90,"Melbourne",143,"L",1000,"Gold Coast Suns",47,"I","MCG","VIC","Melbourne",23072
182473266,2018,21,"2018-08-10","19:50","19:50","Regular Season","",50,"Essendon",122,"L",130,"St Kilda",79,"L","Etihad Stadium","VIC","Melbourne",37483
182472787,2018,21,"2018-08-11","13:45","13:45","Regular Season","",80,"Hawthorn",71,"L",70,"Geelong Cats",60,"L","MCG","VIC","Melbourne",59529
182474979,2018,21,"2018-08-11","14:10","14:10","Regular Season","",1000,"Gold Coast Suns",51,"L",120,"Richmond",125,"I","Metricon Stadium","QLD","Gold Coast",18102
182476387,2018,21,"2018-08-11","16:05","16:35","Regular Season","",110,"Port Adelaide",58,"L",150,"West Coast Eagles",62,"I","Adelaide Oval","SA","Adelaide",32534
182474787,2018,21,"2018-08-11","19:25","19:25","Regular Season","",40,"Collingwood",104,"L",20,"Brisbane Lions",73,"I","Etihad Stadium","VIC","Melbourne",33390
182473459,2018,21,"2018-08-11","19:25","19:25","Regular Season","",1010,"GWS Giants",106,"I",10,"Adelaide Crows",92,"I","UNSW Canberra Oval","ACT","Canberra",13249
182482016,2018,21,"2018-08-12","13:10","13:10","Regular Season","",100,"North Melbourne",85,"L",140,"Western Bulldogs",92,"L","Etihad Stadium","VIC","Melbourne",27031
182484016,2018,21,"2018-08-12","14:40","16:40","Regular Season","",60,"Fremantle",101,"L",30,"Carlton",72,"I","Optus Stadium","WA","Perth",40028
182483536,2018,21,"2018-08-12","15:20","15:20","Regular Season","",90,"Melbourne",78,"L",160,"Sydney Swans",87,"I","MCG","VIC","Melbourne",51424
182491249,2018,22,"2018-08-17","19:50","19:50","Regular Season","",120,"Richmond",81,"L",50,"Essendon",73,"L","MCG","VIC","Melbourne",76424
182491170,2018,22,"2018-08-18","13:45","13:45","Regular Season","",40,"Collingwood",115,"L",110,"Port Adelaide",64,"I","MCG","VIC","Melbourne",46286
182490690,2018,22,"2018-08-18","14:10","14:10","Regular Season","",70,"Geelong Cats",158,"L",60,"Fremantle",25,"I","GMHBA Stadium","VIC","Geelong",24507
182489842,2018,22,"2018-08-18","16:35","16:35","Regular Season","",1010,"GWS Giants",60,"L",160,"Sydney Swans",80,"L","Spotless Stadium","NSW","Sydney",
182489730,2018,22,"2018-08-18","19:25","19:25","Regular Season","",130,"St Kilda",76,"L",80,"Hawthorn",80,"L","Etihad Stadium","VIC","Melbourne",24752
182491362,2018,22,"2018-08-18","19:25","19:25","Regular Season","",1000,"Gold Coast Suns",74,"L",20,"Brisbane Lions",78,"L","Metricon Stadium","QLD","Gold Coast",11907
